complaint_text,category,subcategory,,,,
A male passenger was sitting too close and touching me without my consent,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
There were men catcalling and making inappropriate remarks as I entered the coach,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger continued staring at me and making me uncomfortable during the entire journey,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was harassed by a group of men who kept making sexual remarks,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man was taking pictures of me without my permission on the train,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger kept brushing his body against mine intentionally in the crowded coach,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was verbally abused by a man when I asked him to stop making inappropriate comments,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I felt unsafe as a man tried to follow me after I got off the train,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger was watching explicit content on his phone and making me uncomfortable,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man made lewd comments while passing by me in the coach,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger exposed himself in front of me during the train journey,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A group of men made degrading comments about my appearance and harassed me throughout the trip,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was physically assaulted by a man while trying to move to another coach,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was sexually assaulted by a fellow passenger when I was asleep in my berth,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger made vulgar hand gestures towards me while I was sitting in my seat,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was cornered by a group of men in the compartment and harassed,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man persistently asked for my phone number despite me saying no,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was stalked by a man from the station to the train and he continued making me uncomfortable during the ride,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger touched me inappropriately while pretending to get up from his seat,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was harassed by a man who made derogatory comments about my clothes,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man attempted to sexually assault me in the train bathroom,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger tried to force himself on me when the coach was less crowded,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I witnessed a lady passenger being harassed by a group of men and no action was taken by the authorities,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man followed me off the train and tried to grab me,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was repeatedly harassed by a male passenger who kept propositioning me for sex,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger tried to take advantage of the dark coach to grope me,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was catcalled and followed by a man when I was alone in the coach,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man made repeated attempts to sit beside me even after I asked him not to,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger verbally assaulted me after I refused to engage with him,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was physically threatened by a man when I told him to stop harassing me,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A group of men surrounded me and made obscene remarks as I tried to get to my seat,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was subjected to unwanted sexual advances by a man throughout the journey,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man grabbed my hand without my consent while exiting the train,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was harassed by a male passenger who was visibly intoxicated and behaving inappropriately,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger continued to make sexual gestures despite being warned,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was groped by a man in the crowded coach and no one intervened to help,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger followed me to the washroom and attempted to assault me,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I felt threatened by a man who was stalking me throughout the train journey,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger kept brushing his leg against mine in a suggestive manner,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was physically attacked by a man after I resisted his sexual advances,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A group of men kept whistling and making sexual comments at me making me feel unsafe,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger tried to block my way and harassed me when I attempted to leave the coach,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A man forcibly kissed me while pretending to offer me help with my luggage,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
I was harassed by a male passenger who kept making sexually suggestive comments,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
A male passenger exposed himself in the ladies’ coach making me feel extremely unsafe,Security,Eve teasing/misbehaviour with lady passenger/rape,,,,
My mobile phone was snatched from my hand while standing near the door of the train.,Security,Theft of passenger belonging/snatching,,,,
A thief stole my purse while I was asleep in the sleeper coach.,Security,Theft of passenger belonging/snatching,,,,
Someone grabbed my bag and ran away when I was boarding the train.,Security,Theft of passenger belonging/snatching,,,,
I noticed my wallet was missing from my pocket after a crowded rush at the station.,Security,Theft of passenger belonging/snatching,,,,
My gold chain was snatched by a passerby as the train slowed down near the platform.,Security,Theft of passenger belonging/snatching,,,,
A man distracted me by asking for directions while another person snatched my phone.,Security,Theft of passenger belonging/snatching,,,,
I found my backpack open and my laptop missing while traveling in the general coach.,Security,Theft of passenger belonging/snatching,,,,
Someone stole my handbag while I was in the bathroom.,Security,Theft of passenger belonging/snatching,,,,
My luggage was taken from the overhead compartment during the night.,Security,Theft of passenger belonging/snatching,,,,
"I was carrying a valuable camera, and it was stolen while I was getting off the train.",Security,Theft of passenger belonging/snatching,,,,
"A group of people crowded around me, and my wallet was stolen in the commotion.",Security,Theft of passenger belonging/snatching,,,,
My jewelry was stolen from my suitcase while I was asleep.,Security,Theft of passenger belonging/snatching,,,,
"I was pushed by a stranger, and in the process, my phone was snatched from my hand.",Security,Theft of passenger belonging/snatching,,,,
"My bag was slashed open, and important documents were stolen.",Security,Theft of passenger belonging/snatching,,,,
My child’s school bag was taken while we were busy getting seats.,Security,Theft of passenger belonging/snatching,,,,
A man grabbed my chain and fled before I could react.,Security,Theft of passenger belonging/snatching,,,,
I caught someone trying to steal my backpack but couldn’t prevent them from running away.,Security,Theft of passenger belonging/snatching,,,,
My expensive watch was snatched from my wrist as the train arrived at the platform.,Security,Theft of passenger belonging/snatching,,,,
Someone opened my suitcase and took away my wallet and ID cards.,Security,Theft of passenger belonging/snatching,,,,
My purse was stolen while I was waiting for the train at the station.,Security,Theft of passenger belonging/snatching,,,,
My phone was taken from the seat beside me while I was looking away for a moment.,Security,Theft of passenger belonging/snatching,,,,
"I was carrying cash in my bag, and it was stolen from the overhead luggage space.",Security,Theft of passenger belonging/snatching,,,,
My laptop bag was stolen when I was distracted by someone asking for help.,Security,Theft of passenger belonging/snatching,,,,
A thief snatched my chain while I was stepping off the train.,Security,Theft of passenger belonging/snatching,,,,
"I found my bag open, and my tablet was missing after a rush of passengers.",Security,Theft of passenger belonging/snatching,,,,
Someone grabbed my phone from my hand as the train was pulling out of the station.,Security,Theft of passenger belonging/snatching,,,,
My suitcase was stolen from the luggage rack while I was resting in the coach.,Security,Theft of passenger belonging/snatching,,,,
"I was pickpocketed in the crowded coach, and my wallet was taken.",Security,Theft of passenger belonging/snatching,,,,
A man snatched my necklace while we were standing at the platform.,Security,Theft of passenger belonging/snatching,,,,
My handbag was stolen while I was purchasing snacks at the station.,Security,Theft of passenger belonging/snatching,,,,
I had my purse stolen while being helped by strangers who offered to assist with my luggage.,Security,Theft of passenger belonging/snatching,,,,
Someone snatched my phone from my hand while the train doors were open.,Security,Theft of passenger belonging/snatching,,,,
My camera was taken from my suitcase while I was asleep in the AC coach.,Security,Theft of passenger belonging/snatching,,,,
My jewelry was snatched from my neck while the train was passing through a station.,Security,Theft of passenger belonging/snatching,,,,
"I was carrying important business documents, and they were stolen from my briefcase.",Security,Theft of passenger belonging/snatching,,,,
"A group of people cornered me, and my phone and wallet were taken.",Security,Theft of passenger belonging/snatching,,,,
"I was distracted by a loud noise, and during the commotion, my purse was stolen.",Security,Theft of passenger belonging/snatching,,,,
My handbag was taken from under my seat while I was in a conversation with another passenger.,Security,Theft of passenger belonging/snatching,,,,
My phone was snatched while I was using it near the train door.,Security,Theft of passenger belonging/snatching,,,,
I noticed my suitcase was gone after I went to the bathroom.,Security,Theft of passenger belonging/snatching,,,,
My gold chain was snatched while I was getting off the train at the station.,Security,Theft of passenger belonging/snatching,,,,
"There was a group of men sitting in the ladies’ coach, making me uncomfortable.",Security,"unauthorised person in ladies/disabled coach/SLR/reserve  coach
","unauthorised person in ladies/disabled coach/SLR/reserve  coach
","unauthorised person in ladies/disabled coach/SLR/reserve  coach
",,
I saw unauthorized male passengers occupying the reserved coach for women.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
A man entered the disabled coach despite being asked to leave by the passengers.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Several unauthorized people entered the SLR coach, causing a disturbance.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
A group of unauthorized men was loitering in the ladies’ coach and refused to leave.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
Unauthorized passengers were sitting in the reserved coach and refused to vacate the seats.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
Men without reservations entered the disabled coach and blocked the passage.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"A man was found sleeping in the ladies’ coach without permission, making the passengers feel unsafe.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Unauthorized people entered the SLR coach and started smoking, causing discomfort.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
There were men sitting in the ladies’ coach despite it being reserved for women passengers.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
A man entered the disabled coach and occupied the seats meant for physically challenged passengers.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"The SLR coach was filled with unauthorized passengers, making it difficult to load luggage.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Unauthorized men were occupying the seats in the ladies’ coach, making female passengers uneasy.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Several men without tickets were found occupying the ladies’ coach, creating a commotion.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"I noticed an unauthorized person selling goods in the disabled coach, causing inconvenience.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"There was a group of unauthorized people in the reserved coach, causing a nuisance.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Unauthorized men entered the ladies’ coach at night, making the passengers feel unsafe.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"The disabled coach had unauthorized people standing near the doors, blocking access for those with disabilities.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
I noticed several unauthorized men sitting in the reserved ladies’ coach during my journey.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
A man entered the disabled coach and refused to leave even after being asked by the passengers.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Unauthorized vendors were found selling items in the SLR coach, making it overcrowded.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"A group of unauthorized people was sleeping in the ladies’ coach, making it difficult for passengers to find seats.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Several men were sitting in the ladies’ coach, ignoring the instructions of the female passengers.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Unauthorized passengers were standing in the disabled coach, occupying space meant for wheelchairs.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
Men entered the reserved coach for women and behaved inappropriately with the passengers.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
I saw an unauthorized person entering the SLR coach and tampering with the luggage.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"There were unauthorized passengers sitting in the disabled coach, leaving no space for those who needed it.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Several men entered the ladies’ coach during the night, making it unsafe for women passengers.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
A man without a ticket was found occupying a seat in the disabled coach and refused to leave.,Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
"Unauthorized people were found sitting in the SLR coach, making it difficult for others to access their luggage.",Security,unauthorised person in ladies/disabled coach/SLR/reserve  coach,,,,
